date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,1974.51,Salary,Salary,Monthly salary payment,Tech Corp,income,4
2024-01-02,17.76,Transportation,Uber/Lyft,Gas fill-up,Uber,expense,4
2024-01-02,14.52,ATM Fee,ATM Fee,Individual improve type ask.,Ford PLC,expense,4
2024-01-02,7.56,Subscription,Subscription,Wear who sell.,Martin PLC,expense,4
2024-01-03,767.74,Housing,Rent,Mortgage payment,Wells Fargo,expense,4
2024-01-03,12.32,Entertainment,Streaming,Subscription,AMC Theaters,expense,4
2024-01-03,6.59,Shopping,Personal Care,Online purchase,Amazon,expense,4
2024-01-03,87.83,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,4
2024-01-04,8.58,Transportation,Uber/Lyft,Parking fee,Lyft,expense,4
2024-01-05,9.46,Bank Fee,Bank Fee,Member gun.,Shelton Inc,expense,4
2024-01-05,7.31,ATM Fee,ATM Fee,Protect gun middle wear.,"Gomez, Jones and Preston",expense,4
2024-01-06,17.62,Food & Dining,Restaurants,Lunch,McDonalds,expense,4
2024-01-06,21.45,Food & Dining,Restaurants,Grocery shopping,Safeway,expense,4
2024-01-07,108.01,Utilities,Water,Internet bill,Verizon,expense,4
2024-01-08,21.83,Shopping,Personal Care,Online purchase,Walgreens,expense,4
2024-01-08,41.7,Subscription,Subscription,Send box.,Conley-Perkins,expense,4
2024-01-11,13.67,Subscription,Subscription,Indicate agency include yes compare.,Williamson Group,expense,4
2024-01-11,49.21,Subscription,Subscription,Minute week.,Wright Inc,expense,4
2024-01-12,12.64,Food & Dining,Coffee,Grocery shopping,McDonalds,expense,4
2024-01-12,26.22,Food & Dining,Restaurants,Dinner,DoorDash,expense,4
2024-01-13,12.17,Bank Fee,Bank Fee,Trouble space community down.,Santiago-Lara,expense,4
2024-01-13,27.37,Other,Other,Debate moment dog stage production.,Miller-Pham,expense,4
2024-01-14,8.72,Entertainment,Sports,Concert,AMC Theaters,expense,4
2024-01-15,1952.43,Salary,Salary,Monthly salary payment,Finance Inc,income,4
2024-01-15,592.42,Freelance,Freelance,Freelance project payment,Upwork,income,4
2024-01-15,20.22,Transportation,Uber/Lyft,Car payment,Chevron,expense,4
2024-01-15,47.44,ATM Fee,ATM Fee,Draw however.,Lloyd-Bell,expense,4
2024-01-16,16.52,Food & Dining,Fast Food,Coffee,Chipotle,expense,4
2024-01-16,5.76,Entertainment,Movies,Subscription,AMC Theaters,expense,4
2024-01-18,747.81,Housing,HOA Fees,Property maintenance,Wells Fargo,expense,4
2024-01-21,17.01,Transportation,Gas,Parking fee,Lyft,expense,4
2024-01-21,10.73,Entertainment,Sports,Concert,PlayStation Store,expense,4
2024-01-24,47.76,Bank Fee,Bank Fee,Majority throughout.,Chan-Conner,expense,4
2024-01-24,39.29,ATM Fee,ATM Fee,East history though.,Montoya and Sons,expense,4
2024-01-25,807.12,Housing,Maintenance,Property maintenance,Bank of America,expense,4
2024-01-26,15.16,Transportation,Gas,Gas fill-up,Metro,expense,4
2024-01-26,12.47,Shopping,Personal Care,Retail shopping,Amazon,expense,4
2024-01-26,9.45,ATM Fee,ATM Fee,Voice soon market four tend.,"Valdez, Stewart and Smith",expense,4
2024-01-28,6.09,Entertainment,Gaming,Concert,PlayStation Store,expense,4
2024-01-29,14.07,Entertainment,Movies,Subscription,AMC Theaters,expense,4
2024-01-30,44.03,Bank Fee,Bank Fee,Painting firm.,Santos-Henderson,expense,4
2024-01-30,21.89,Other,Other,If stand message.,Walsh Ltd,expense,4
2024-01-31,116.87,Utilities,Electric,Internet bill,Verizon,expense,4
2024-02-01,1849.76,Salary,Salary,Monthly salary payment,Finance Inc,income,4
2024-02-01,1023.28,Freelance,Freelance,Freelance project payment,Upwork,income,4
2024-02-01,14.26,Entertainment,Music,Movie tickets,Netflix,expense,4
2024-02-03,17.58,ATM Fee,ATM Fee,Which grow you.,Cline PLC,expense,4
