date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,1953.67,Salary,Salary,Monthly salary payment,Finance Inc,income,3
2024-01-01,1457.63,Freelance,Freelance,Freelance project payment,Client B,income,3
2024-01-03,21.32,Food & Dining,Fast Food,Coffee,Chipotle,expense,3
2024-01-03,21.66,Food & Dining,Groceries,Coffee,Whole Foods,expense,3
2024-01-03,28.42,ATM Fee,ATM Fee,Expert another really wide sing.,Mitchell and Sons,expense,3
2024-01-04,25.1,Transportation,Parking,Car payment,Shell,expense,3
2024-01-05,4.6,Shopping,Personal Care,Personal items,Macys,expense,3
2024-01-06,744.09,Housing,Mortgage,Mortgage payment,Home Depot,expense,3
2024-01-06,11.46,Shopping,Books,Retail shopping,Amazon,expense,3
2024-01-08,29.9,Bank Fee,Bank Fee,Sometimes respond others figure.,"Watson, Levy and Rodriguez",expense,3
2024-01-13,28.21,Transportation,Public Transit,Gas fill-up,Shell,expense,3
2024-01-14,58.83,Healthcare,Dental,Prescription,Dental Associates,expense,3
2024-01-15,1849.13,Salary,Salary,Monthly salary payment,Finance Inc,income,3
2024-01-15,120.62,Utilities,Phone,Electric bill,AT&T,expense,3
2024-01-15,12.54,Entertainment,Movies,Movie tickets,Steam,expense,3
2024-01-15,28.21,Subscription,Subscription,Decide seek power.,Flores and Sons,expense,3
2024-01-16,7.59,Shopping,Books,Online purchase,CVS,expense,3
2024-01-17,6.47,Transportation,Uber/Lyft,Gas fill-up,Lyft,expense,3
2024-01-17,23.45,Shopping,Home Goods,Online purchase,CVS,expense,3
2024-01-17,22.79,Shopping,Home Goods,Retail shopping,CVS,expense,3
2024-01-17,25.59,Bank Fee,Bank Fee,Threat final.,Thomas-Johnson,expense,3
2024-01-18,2.37,Entertainment,Movies,Concert,Spotify,expense,3
2024-01-20,13.71,Food & Dining,Restaurants,Lunch,Chipotle,expense,3
2024-01-21,35.28,Subscription,Subscription,Feeling more allow.,Cook Ltd,expense,3
2024-01-22,22.44,ATM Fee,ATM Fee,Food we poor hope.,"Copeland, Fry and Smith",expense,3
2024-01-23,13.02,Transportation,Public Transit,Car payment,Shell,expense,3
2024-01-23,23.8,Shopping,Electronics,Personal items,Macys,expense,3
2024-01-25,31.72,Transportation,Gas,Car payment,Shell,expense,3
2024-01-26,6.83,Food & Dining,Groceries,Lunch,Chipotle,expense,3
2024-01-26,4.16,Entertainment,Streaming,Concert,Spotify,expense,3
2024-01-27,8.46,Food & Dining,Coffee,Dinner,McDonalds,expense,3
2024-01-28,40.24,Other,Other,Model religious take ahead pattern.,Daniels LLC,expense,3
2024-01-29,30.51,Transportation,Public Transit,Gas fill-up,Metro,expense,3
2024-01-30,116.4,Utilities,Electric,Phone bill,PG&E,expense,3
2024-02-01,1847.89,Salary,Salary,Monthly salary payment,Tech Corp,income,3
2024-02-01,1796.27,Freelance,Freelance,Freelance project payment,Upwork,income,3
2024-02-01,14.12,Transportation,Public Transit,Gas fill-up,Metro,expense,3
2024-02-01,13.04,Entertainment,Movies,Movie tickets,Steam,expense,3
2024-02-02,84.06,Healthcare,Pharmacy,Prescription,Dental Associates,expense,3
2024-02-03,6.8,Shopping,Books,Online purchase,CVS,expense,3
2024-02-03,37.34,Bank Fee,Bank Fee,Sign speech myself.,"Malone, Dougherty and Baker",expense,3
2024-02-04,751.19,Housing,HOA Fees,Mortgage payment,Wells Fargo,expense,3
2024-02-07,99.85,Healthcare,Doctor Visit,Prescription,CVS Pharmacy,expense,3
2024-02-08,105.78,Utilities,Phone,Electric bill,Water Company,expense,3
2024-02-08,6.51,Entertainment,Gaming,Concert,AMC Theaters,expense,3
2024-02-09,808.54,Housing,Mortgage,Property maintenance,Wells Fargo,expense,3
2024-02-09,73.06,Healthcare,Dental,Doctor visit,Dental Associates,expense,3
2024-02-10,6.43,Food & Dining,Groceries,Lunch,DoorDash,expense,3
2024-02-10,81.56,Utilities,Internet,Phone bill,Water Company,expense,3
2024-02-10,7.83,Entertainment,Streaming,Movie tickets,Netflix,expense,3
2024-02-11,35.33,Transportation,Uber/Lyft,Gas fill-up,Chevron,expense,3
2024-02-11,17.36,Bank Fee,Bank Fee,Country purpose hospital.,Allen-Thompson,expense,3
2024-02-12,36.75,Subscription,Subscription,Although operation.,May and Sons,expense,3
2024-02-12,39.55,ATM Fee,ATM Fee,Bill star cultural.,Bradley and Sons,expense,3
2024-02-12,39.37,ATM Fee,ATM Fee,Report state board shoulder.,"Mcdaniel, Murphy and Gutierrez",expense,3
2024-02-13,6.1,Food & Dining,Fast Food,Coffee,Starbucks,expense,3
2024-02-15,1874.9,Salary,Salary,Monthly salary payment,Finance Inc,income,3
2024-02-15,1271.62,Freelance,Freelance,Freelance project payment,Upwork,income,3
2024-02-15,27.88,Bank Fee,Bank Fee,Network concern.,"Lee, Price and Hayes",expense,3
2024-02-17,9.27,Entertainment,Music,Concert,PlayStation Store,expense,3
2024-02-19,104.88,Utilities,Internet,Electric bill,Comcast,expense,3
2024-02-21,10.13,Food & Dining,Groceries,Coffee,Starbucks,expense,3
2024-02-21,27.2,Food & Dining,Delivery,Grocery shopping,Starbucks,expense,3
2024-02-22,19.62,Shopping,Personal Care,Personal items,CVS,expense,3
2024-02-22,28.87,Subscription,Subscription,Make agree student build such.,Dennis and Sons,expense,3
2024-02-23,24.29,Subscription,Subscription,Media order upon just.,Lewis Ltd,expense,3
2024-02-25,37.11,ATM Fee,ATM Fee,Then want raise.,Myers-Jones,expense,3
2024-02-25,34.97,Other,Other,Age owner.,"White, Thomas and Mejia",expense,3
2024-02-26,11.73,Entertainment,Music,Concert,Spotify,expense,3
2024-02-26,29.71,Subscription,Subscription,Word method price.,"Yu, Ramos and King",expense,3
2024-02-28,22.07,Shopping,Electronics,Personal items,Walgreens,expense,3
2024-02-29,36.83,Transportation,Gas,Parking fee,Honda Finance,expense,3
2024-02-29,15.66,Subscription,Subscription,Free high up market.,Weaver and Sons,expense,3
2024-03-01,1872.85,Salary,Salary,Monthly salary payment,Finance Inc,income,3
2024-03-01,797.55,Freelance,Freelance,Freelance project payment,Client A,income,3
2024-03-02,7.64,Transportation,Public Transit,Parking fee,Honda Finance,expense,3
2024-03-04,19.84,Food & Dining,Delivery,Grocery shopping,Safeway,expense,3
2024-03-04,31.4,Transportation,Gas,Car payment,Honda Finance,expense,3
