date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,1844.03,Salary,Salary,Monthly salary payment,Finance Inc,income,6
2024-01-02,3.68,Entertainment,Movies,Subscription,PlayStation Store,expense,6
2024-01-02,18.49,Shopping,Personal Care,Retail shopping,CVS,expense,6
2024-01-04,16.44,Food & Dining,Groceries,Coffee,Safeway,expense,6
2024-01-05,724.23,Housing,Rent,Mortgage payment,Landlord,expense,6
2024-01-05,33.75,Bank Fee,Bank Fee,Fast attack.,"Lewis, Wallace and Cole",expense,6
2024-01-07,16.13,Food & Dining,Restaurants,Lunch,McDonalds,expense,6
2024-01-08,34.84,Bank Fee,Bank Fee,Bad begin receive yet.,Kemp-West,expense,6
2024-01-08,18.81,Bank Fee,Bank Fee,Address protect require degree.,"Smith, Lane and Spencer",expense,6
2024-01-09,8.69,Shopping,Clothing,Online purchase,Amazon,expense,6
2024-01-09,10.24,Shopping,Clothing,Retail shopping,Macys,expense,6
2024-01-11,18.13,Food & Dining,Groceries,Lunch,Whole Foods,expense,6
2024-01-11,31.55,Transportation,Parking,Gas fill-up,Shell,expense,6
2024-01-11,22.55,ATM Fee,ATM Fee,Talk election should.,Miller-Marshall,expense,6
2024-01-14,20.43,Food & Dining,Delivery,Grocery shopping,Uber Eats,expense,6
2024-01-14,10.85,Entertainment,Music,Subscription,Netflix,expense,6
2024-01-14,7.06,Shopping,Electronics,Online purchase,Amazon,expense,6
2024-01-15,1809.28,Salary,Salary,Monthly salary payment,Tech Corp,income,6
2024-01-15,86.12,Healthcare,Insurance Premium,Insurance,Kaiser Permanente,expense,6
2024-01-17,12.07,Transportation,Uber/Lyft,Car payment,Lyft,expense,6
2024-01-17,12.34,Shopping,Home Goods,Personal items,Target,expense,6
2024-01-18,10.65,Shopping,Home Goods,Retail shopping,Amazon,expense,6
2024-01-21,22.06,Transportation,Uber/Lyft,Car payment,Chevron,expense,6
2024-01-22,28.63,Bank Fee,Bank Fee,Two image.,"Vasquez, Porter and Robinson",expense,6
2024-01-24,6.04,Entertainment,Gaming,Movie tickets,PlayStation Store,expense,6
2024-01-25,115.62,Utilities,Gas,Internet bill,PG&E,expense,6
2024-01-26,5.77,Transportation,Public Transit,Car payment,Uber,expense,6
2024-01-27,16.74,Food & Dining,Restaurants,Dinner,Uber Eats,expense,6
