date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,4984.58,Salary,Salary,Monthly salary payment,Finance Inc,income,9
2024-01-01,27.14,Shopping,Home Goods,Personal items,CVS,expense,9
2024-01-01,36.07,Bank Fee,Bank Fee,Evening recently read.,Day LLC,expense,9
2024-01-02,216.73,Utilities,Phone,Phone bill,AT&T,expense,9
2024-01-02,329.45,Travel,Vacation,Vacation expense,Hertz,expense,9
2024-01-03,8.29,Entertainment,Streaming,Movie tickets,Netflix,expense,9
2024-01-04,28.19,Transportation,Public Transit,Car payment,Shell,expense,9
2024-01-05,62.11,Food & Dining,Fast Food,Dinner,Whole Foods,expense,9
2024-01-05,27.51,Shopping,Books,Online purchase,Best Buy,expense,9
2024-01-06,59.17,Transportation,Gas,Car payment,Metro,expense,9
2024-01-06,225.48,Utilities,Internet,Phone bill,PG&E,expense,9
2024-01-06,24.26,Entertainment,Movies,Subscription,Spotify,expense,9
2024-01-06,177.5,Healthcare,Dental,Doctor visit,Kaiser Permanente,expense,9
2024-01-06,12.06,Bank Fee,Bank Fee,Order against many.,"Hunt, Compton and Duran",expense,9
2024-01-07,1876.51,Housing,Maintenance,Mortgage payment,Home Depot,expense,9
2024-01-07,32.28,Entertainment,Movies,Subscription,Steam,expense,9
2024-01-07,47.06,Other,Other,The politics new stay.,Collier PLC,expense,9
2024-01-08,35.5,Entertainment,Movies,Subscription,AMC Theaters,expense,9
2024-01-10,65.4,Food & Dining,Fast Food,Grocery shopping,Whole Foods,expense,9
2024-01-11,64.97,Transportation,Public Transit,Parking fee,Lyft,expense,9
2024-01-12,52.17,Transportation,Gas,Gas fill-up,Uber,expense,9
2024-01-13,17.27,Subscription,Subscription,Road life ever.,"Moss, Huffman and Molina",expense,9
2024-01-14,201.49,Utilities,Gas,Phone bill,PG&E,expense,9
2024-01-15,5034.9,Salary,Salary,Monthly salary payment,Finance Inc,income,9
2024-01-15,1677.6,Freelance,Freelance,Freelance project payment,Client B,income,9
2024-01-16,13.71,ATM Fee,ATM Fee,Order hold friend.,Williams Ltd,expense,9
2024-01-16,26.06,Other,Other,Sure another since light worker.,"White, Davis and Fowler",expense,9
2024-01-17,69.49,Food & Dining,Delivery,Coffee,Whole Foods,expense,9
2024-01-20,1938.45,Housing,Maintenance,Mortgage payment,Landlord,expense,9
2024-01-20,37.86,ATM Fee,ATM Fee,Pay race give.,"Walters, Patel and Simmons",expense,9
2024-01-22,15.99,Shopping,Books,Retail shopping,Best Buy,expense,9
2024-01-22,29.38,Other,Other,Service quickly serious finish.,Brady Ltd,expense,9
2024-01-24,61.69,Transportation,Uber/Lyft,Gas fill-up,Chevron,expense,9
2024-01-25,40.85,Shopping,Home Goods,Online purchase,Walgreens,expense,9
2024-01-25,45.15,Other,Other,Teach but necessary practice.,Daniels-Alvarez,expense,9
2024-01-27,13.65,Entertainment,Sports,Concert,Steam,expense,9
2024-01-27,17.24,Entertainment,Music,Subscription,Steam,expense,9
2024-01-28,41.37,Bank Fee,Bank Fee,Road purpose reduce.,Campos-Hudson,expense,9
2024-01-30,20.85,Transportation,Public Transit,Gas fill-up,Honda Finance,expense,9
2024-02-01,4886.98,Salary,Salary,Monthly salary payment,Tech Corp,income,9
2024-02-01,519.49,Freelance,Freelance,Freelance project payment,Client A,income,9
2024-02-01,207.14,Utilities,Internet,Electric bill,Comcast,expense,9
2024-02-02,33.27,Shopping,Books,Personal items,Best Buy,expense,9
2024-02-03,45.64,Other,Other,Air country last.,"Blake, Obrien and Martinez",expense,9
2024-02-03,23.88,Subscription,Subscription,Voice PM south.,Smith Inc,expense,9
2024-02-03,21.09,ATM Fee,ATM Fee,Same public weight television.,Norris-Smith,expense,9
2024-02-05,38.11,Other,Other,Feeling environment agent purpose.,Thomas and Sons,expense,9
2024-02-06,43.94,Bank Fee,Bank Fee,Produce father century hot.,"Burke, Scott and Cunningham",expense,9
2024-02-07,209.57,Healthcare,Pharmacy,Doctor visit,Kaiser Permanente,expense,9
2024-02-09,28.57,ATM Fee,ATM Fee,Forward someone statement city.,Lutz-Williams,expense,9
2024-02-10,35.52,Shopping,Books,Retail shopping,Walgreens,expense,9
2024-02-11,71.64,Transportation,Uber/Lyft,Parking fee,Lyft,expense,9
2024-02-12,2068.79,Housing,Maintenance,Property maintenance,Wells Fargo,expense,9
2024-02-12,33.45,Entertainment,Music,Concert,Spotify,expense,9
2024-02-12,39.81,Bank Fee,Bank Fee,Property business development.,"Villegas, Lee and Jenkins",expense,9
2024-02-14,47.23,Shopping,Electronics,Online purchase,Target,expense,9
2024-02-15,5133.3,Salary,Salary,Monthly salary payment,Tech Corp,income,9
2024-02-15,11.12,Shopping,Clothing,Personal items,Best Buy,expense,9
2024-02-16,19.19,Entertainment,Movies,Subscription,PlayStation Store,expense,9
2024-02-18,47.17,Transportation,Uber/Lyft,Gas fill-up,Uber,expense,9
2024-02-18,20.89,Entertainment,Gaming,Subscription,Steam,expense,9
2024-02-19,59.85,Shopping,Personal Care,Retail shopping,Target,expense,9
2024-02-20,78.26,Transportation,Parking,Car payment,Shell,expense,9
2024-02-20,39.65,Bank Fee,Bank Fee,Police before sound.,Martinez-White,expense,9
2024-02-21,47.12,ATM Fee,ATM Fee,Which national hour.,"Shaffer, Bean and Miller",expense,9
2024-02-22,18.91,Food & Dining,Restaurants,Coffee,Whole Foods,expense,9
2024-02-22,6.32,Other,Other,Risk huge firm perhaps.,Wong-Haas,expense,9
2024-02-22,8.68,Bank Fee,Bank Fee,Appear image eat like.,Hahn-Rios,expense,9
2024-02-23,40.82,ATM Fee,ATM Fee,Know group produce place.,Warren Inc,expense,9
2024-02-23,45.9,ATM Fee,ATM Fee,Start design vote than these.,Campbell-Willis,expense,9
