date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,5151.21,Salary,Salary,Monthly salary payment,Tech Corp,income,10
2024-01-01,1462.58,Freelance,Freelance,Freelance project payment,Client B,income,10
2024-01-02,48.31,Food & Dining,Groceries,Lunch,DoorDash,expense,10
2024-01-04,39.3,Subscription,Subscription,Sister director up.,"Gray, Lam and Chang",expense,10
2024-01-05,33.59,Transportation,Parking,Car payment,Uber,expense,10
2024-01-08,39.57,ATM Fee,ATM Fee,Baby full both marriage hold.,"Kelly, Schaefer and Garrett",expense,10
2024-01-08,10.45,Other,Other,Also ask myself.,Campbell-Nguyen,expense,10
2024-01-09,37.78,Entertainment,Music,Movie tickets,Netflix,expense,10
2024-01-10,239.98,Healthcare,Doctor Visit,Insurance,Kaiser Permanente,expense,10
2024-01-10,5.01,Other,Other,Maintain action case many.,Marsh-Cervantes,expense,10
2024-01-12,64.36,Food & Dining,Groceries,Lunch,DoorDash,expense,10
2024-01-13,58.24,Transportation,Uber/Lyft,Car payment,Lyft,expense,10
2024-01-15,5268.01,Salary,Salary,Monthly salary payment,Finance Inc,income,10
2024-01-15,41.0,Shopping,Books,Personal items,CVS,expense,10
2024-01-16,37.74,Shopping,Clothing,Personal items,Target,expense,10
2024-01-16,208.23,Healthcare,Doctor Visit,Doctor visit,Dental Associates,expense,10
2024-01-16,31.03,Bank Fee,Bank Fee,Father kid gas.,Peterson-Casey,expense,10
2024-01-17,339.79,Utilities,Gas,Internet bill,AT&T,expense,10
2024-01-17,42.64,Shopping,Home Goods,Online purchase,Best Buy,expense,10
2024-01-20,17.05,Food & Dining,Restaurants,Grocery shopping,Chipotle,expense,10
2024-01-20,93.37,Transportation,Parking,Gas fill-up,Honda Finance,expense,10
2024-01-20,35.74,Entertainment,Streaming,Movie tickets,Spotify,expense,10
2024-01-20,35.96,Shopping,Books,Online purchase,Amazon,expense,10
2024-01-20,19.03,Shopping,Personal Care,Personal items,CVS,expense,10
2024-01-22,37.62,Shopping,Clothing,Personal items,Best Buy,expense,10
2024-01-22,251.24,Healthcare,Pharmacy,Prescription,Kaiser Permanente,expense,10
2024-01-22,30.04,Subscription,Subscription,Investment have.,"Ramirez, Smith and Roberts",expense,10
2024-01-24,90.43,Transportation,Parking,Car payment,Uber,expense,10
2024-01-25,2121.47,Housing,Mortgage,Rent payment,Wells Fargo,expense,10
2024-01-27,350.33,Utilities,Internet,Internet bill,Comcast,expense,10
2024-01-27,13.34,Subscription,Subscription,Low suddenly.,"Craig, James and Thompson",expense,10
2024-01-29,34.05,Entertainment,Streaming,Subscription,AMC Theaters,expense,10
2024-01-30,46.74,Bank Fee,Bank Fee,Nice set strong.,Garrett-Roberts,expense,10
2024-01-31,39.54,ATM Fee,ATM Fee,Firm cold late.,Jimenez-Wallace,expense,10
2024-02-01,4980.41,Salary,Salary,Monthly salary payment,Tech Corp,income,10
2024-02-01,1909.25,Freelance,Freelance,Freelance project payment,Upwork,income,10
2024-02-01,26.0,Entertainment,Streaming,Movie tickets,PlayStation Store,expense,10
2024-02-02,18.4,Entertainment,Movies,Subscription,Netflix,expense,10
2024-02-02,281.73,Healthcare,Insurance Premium,Insurance,CVS Pharmacy,expense,10
