date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,6215.07,Salary,Salary,Monthly salary payment,Tech Corp,income,7
2024-01-03,62.09,Shopping,Electronics,Retail shopping,Macys,expense,7
2024-01-03,20.15,Other,Other,Beat want.,Rhodes Ltd,expense,7
2024-01-04,11.94,ATM Fee,ATM Fee,Authority wish.,"Mullins, Golden and Reyes",expense,7
2024-01-05,49.86,Shopping,Personal Care,Retail shopping,Macys,expense,7
2024-01-06,7.54,Entertainment,Movies,Concert,Spotify,expense,7
2024-01-07,23.21,Entertainment,Gaming,Movie tickets,Spotify,expense,7
2024-01-07,328.79,Healthcare,Dental,Insurance,Dental Associates,expense,7
2024-01-08,2312.07,Housing,Rent,Rent payment,Wells Fargo,expense,7
2024-01-08,117.79,Transportation,Car Payment,Car payment,Lyft,expense,7
2024-01-10,52.21,Food & Dining,Groceries,Coffee,Whole Foods,expense,7
2024-01-10,65.79,Food & Dining,Restaurants,Lunch,Uber Eats,expense,7
2024-01-11,34.76,ATM Fee,ATM Fee,Sense media.,Mitchell-Taylor,expense,7
2024-01-14,21.55,Food & Dining,Groceries,Coffee,Uber Eats,expense,7
2024-01-14,78.05,Transportation,Gas,Parking fee,Lyft,expense,7
2024-01-15,5643.32,Salary,Salary,Monthly salary payment,Tech Corp,income,7
2024-01-15,19.91,Subscription,Subscription,Woman blood chance.,Mendoza PLC,expense,7
2024-01-17,79.56,Transportation,Parking,Parking fee,Honda Finance,expense,7
2024-01-17,47.8,Subscription,Subscription,Family personal none resource.,Potter and Sons,expense,7
2024-01-19,111.04,Transportation,Parking,Parking fee,Lyft,expense,7
2024-01-19,12.95,Entertainment,Sports,Subscription,Netflix,expense,7
2024-01-20,257.77,Healthcare,Insurance Premium,Doctor visit,CVS Pharmacy,expense,7
2024-01-24,2260.61,Housing,HOA Fees,Property maintenance,Property Manager,expense,7
2024-01-24,91.45,Transportation,Gas,Parking fee,Metro,expense,7
2024-01-24,393.36,Utilities,Phone,Electric bill,Water Company,expense,7
2024-01-24,15.76,Entertainment,Streaming,Movie tickets,Spotify,expense,7
2024-01-25,66.94,Shopping,Books,Online purchase,Best Buy,expense,7
2024-01-29,68.22,Transportation,Parking,Gas fill-up,Chevron,expense,7
2024-02-01,5748.4,Salary,Salary,Monthly salary payment,Finance Inc,income,7
2024-02-05,26.86,ATM Fee,ATM Fee,Father final order believe.,Johnson LLC,expense,7
2024-02-07,24.03,Transportation,Car Payment,Gas fill-up,Shell,expense,7
2024-02-08,2336.88,Housing,HOA Fees,Mortgage payment,Home Depot,expense,7
2024-02-09,39.5,Entertainment,Movies,Subscription,AMC Theaters,expense,7
2024-02-09,37.71,Entertainment,Sports,Movie tickets,Steam,expense,7
2024-02-09,43.52,ATM Fee,ATM Fee,Do walk hundred free old.,Hernandez and Sons,expense,7
2024-02-09,11.19,Other,Other,Firm enjoy area stuff people.,Harvey-Cisneros,expense,7
2024-02-11,299.61,Healthcare,Insurance Premium,Doctor visit,Dental Associates,expense,7
2024-02-12,74.84,Food & Dining,Coffee,Coffee,Starbucks,expense,7
2024-02-12,46.24,Other,Other,Relate door list.,Marsh Inc,expense,7
2024-02-13,17.72,Entertainment,Streaming,Subscription,Spotify,expense,7
2024-02-14,25.63,Food & Dining,Fast Food,Coffee,Chipotle,expense,7
2024-02-14,350.3,Utilities,Electric,Internet bill,Verizon,expense,7
2024-02-14,13.99,Entertainment,Streaming,Movie tickets,Spotify,expense,7
2024-02-14,58.89,Shopping,Electronics,Retail shopping,Target,expense,7
2024-02-15,5759.49,Salary,Salary,Monthly salary payment,Healthcare LLC,income,7
2024-02-16,23.14,Shopping,Books,Personal items,Best Buy,expense,7
2024-02-17,18.49,Other,Other,Father open close develop record.,"Moore, Johnson and Hawkins",expense,7
2024-02-18,23.69,Bank Fee,Bank Fee,Born different administration lose effort.,Haynes Group,expense,7
2024-02-18,47.13,ATM Fee,ATM Fee,Structure during.,"Gamble, Mathews and Johnson",expense,7
2024-02-19,327.54,Utilities,Electric,Electric bill,AT&T,expense,7
2024-02-19,215.67,Healthcare,Insurance Premium,Insurance,Dental Associates,expense,7
2024-02-20,1070.39,Travel,Flights,Hotel stay,Southwest Airlines,expense,7
2024-02-21,2319.21,Housing,HOA Fees,Property maintenance,Home Depot,expense,7
2024-02-21,69.56,Shopping,Home Goods,Personal items,Macys,expense,7
2024-02-23,66.96,Food & Dining,Groceries,Coffee,Whole Foods,expense,7
2024-02-23,49.76,Transportation,Parking,Parking fee,Metro,expense,7
2024-02-23,13.61,Entertainment,Gaming,Movie tickets,PlayStation Store,expense,7
2024-02-23,250.34,Healthcare,Dental,Insurance,Dental Associates,expense,7
2024-02-23,22.48,Subscription,Subscription,Television friend strategy time.,Washington Ltd,expense,7
2024-02-25,44.89,ATM Fee,ATM Fee,Difficult skin.,Jackson Ltd,expense,7
2024-02-26,29.63,Transportation,Car Payment,Gas fill-up,Shell,expense,7
