date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,4166.77,Salary,Salary,Monthly salary payment,Healthcare LLC,income,8
2024-01-01,1017.05,Freelance,Freelance,Freelance project payment,Client A,income,8
2024-01-02,26.51,Food & Dining,Groceries,Grocery shopping,DoorDash,expense,8
2024-01-02,231.2,Utilities,Gas,Internet bill,Comcast,expense,8
2024-01-04,8.63,Entertainment,Gaming,Subscription,Netflix,expense,8
2024-01-04,31.33,Entertainment,Streaming,Concert,PlayStation Store,expense,8
2024-01-06,122.7,Healthcare,Insurance Premium,Prescription,Kaiser Permanente,expense,8
2024-01-07,17.51,Food & Dining,Restaurants,Coffee,DoorDash,expense,8
2024-01-07,43.94,Food & Dining,Restaurants,Dinner,Safeway,expense,8
2024-01-08,26.65,Other,Other,Charge soon he present bag.,Byrd-Farmer,expense,8
2024-01-11,5.73,Entertainment,Streaming,Subscription,Spotify,expense,8
2024-01-15,4208.92,Salary,Salary,Monthly salary payment,Tech Corp,income,8
2024-01-15,6.38,Entertainment,Movies,Movie tickets,AMC Theaters,expense,8
2024-01-16,1710.09,Housing,Rent,Property maintenance,Bank of America,expense,8
2024-01-16,45.51,Food & Dining,Coffee,Dinner,Chipotle,expense,8
2024-01-16,14.76,Shopping,Home Goods,Online purchase,Target,expense,8
2024-01-16,170.56,Healthcare,Dental,Doctor visit,Dental Associates,expense,8
2024-01-17,31.82,Entertainment,Music,Subscription,PlayStation Store,expense,8
2024-01-17,24.58,Shopping,Clothing,Online purchase,CVS,expense,8
2024-01-18,173.41,Healthcare,Doctor Visit,Insurance,CVS Pharmacy,expense,8
2024-01-19,269.68,Utilities,Gas,Phone bill,Verizon,expense,8
2024-01-19,18.55,ATM Fee,ATM Fee,Chair church career.,Davis-Davis,expense,8
2024-01-22,17.46,Other,Other,Say idea.,Peters-Castro,expense,8
2024-01-24,35.49,Other,Other,Speak without single security.,Williams Ltd,expense,8
2024-01-26,13.33,Transportation,Uber/Lyft,Car payment,Chevron,expense,8
2024-01-26,35.1,Bank Fee,Bank Fee,Worker evening source man.,"Miller, Henderson and Clarke",expense,8
2024-01-28,19.3,Subscription,Subscription,Behind until behavior.,Martinez-Bell,expense,8
2024-01-29,15.69,Food & Dining,Groceries,Lunch,Chipotle,expense,8
2024-01-29,33.93,ATM Fee,ATM Fee,Beyond how debate suggest.,Wheeler and Sons,expense,8
2024-01-29,6.99,Bank Fee,Bank Fee,Official product social.,"Morales, Robinson and Johnson",expense,8
2024-01-30,49.07,Transportation,Gas,Gas fill-up,Shell,expense,8
2024-01-30,17.25,Shopping,Clothing,Online purchase,Target,expense,8
2024-01-31,79.49,Transportation,Car Payment,Gas fill-up,Shell,expense,8
2024-02-01,4392.66,Salary,Salary,Monthly salary payment,Tech Corp,income,8
2024-02-02,31.03,Entertainment,Sports,Concert,Steam,expense,8
2024-02-03,44.91,Shopping,Clothing,Retail shopping,Walgreens,expense,8
2024-02-03,26.18,Bank Fee,Bank Fee,Treatment another tax surface unit.,"Whitaker, Richards and Anderson",expense,8
2024-02-03,15.15,ATM Fee,ATM Fee,Model good may.,Mccarthy LLC,expense,8
2024-02-05,33.88,ATM Fee,ATM Fee,Run live effort not.,"Pope, Bullock and Burke",expense,8
2024-02-06,16.54,Shopping,Clothing,Retail shopping,Best Buy,expense,8
2024-02-07,63.77,Transportation,Gas,Car payment,Lyft,expense,8
2024-02-08,38.71,Other,Other,Crime claim discover.,Lozano-Jones,expense,8
2024-02-09,41.14,Transportation,Uber/Lyft,Parking fee,Shell,expense,8
2024-02-09,12.53,Entertainment,Streaming,Concert,PlayStation Store,expense,8
2024-02-09,19.36,Entertainment,Sports,Concert,Steam,expense,8
2024-02-09,35.05,Bank Fee,Bank Fee,Rich fill lose behind.,Goodman-Harrell,expense,8
2024-02-11,27.43,Shopping,Books,Personal items,Best Buy,expense,8
2024-02-12,298.99,Utilities,Internet,Phone bill,Verizon,expense,8
2024-02-14,26.9,Entertainment,Sports,Subscription,Steam,expense,8
2024-02-14,8.4,Entertainment,Gaming,Movie tickets,Steam,expense,8
2024-02-14,32.31,Other,Other,May write beat big.,Brown-Cobb,expense,8
2024-02-15,4183.65,Salary,Salary,Monthly salary payment,Tech Corp,income,8
2024-02-15,170.46,Healthcare,Doctor Visit,Prescription,Kaiser Permanente,expense,8
2024-02-16,1780.66,Housing,HOA Fees,Mortgage payment,Wells Fargo,expense,8
2024-02-19,19.19,Shopping,Home Goods,Retail shopping,Best Buy,expense,8
2024-02-19,46.23,Shopping,Books,Online purchase,CVS,expense,8
2024-02-19,11.2,Other,Other,Science standard threat.,"Morgan, Wilkinson and Elliott",expense,8
2024-02-21,9.89,Food & Dining,Coffee,Lunch,Chipotle,expense,8
2024-02-22,40.25,ATM Fee,ATM Fee,Product tend.,"Nelson, Chang and Grant",expense,8
2024-02-23,25.04,Transportation,Parking,Car payment,Metro,expense,8
2024-02-23,157.98,Utilities,Phone,Electric bill,Comcast,expense,8
2024-02-23,14.59,Other,Other,Happy debate perhaps Mr.,Moran-Jenkins,expense,8
2024-02-23,7.21,Other,Other,Season agreement benefit.,Hicks Group,expense,8
2024-02-24,34.07,Transportation,Parking,Car payment,Chevron,expense,8
2024-02-24,31.44,ATM Fee,ATM Fee,Establish three only civil.,"Jackson, Middleton and Goodman",expense,8
2024-02-24,19.77,Subscription,Subscription,Boy option stand.,Mata and Sons,expense,8
2024-02-24,11.65,Bank Fee,Bank Fee,Know particularly pay our still.,Donovan-Mann,expense,8
2024-02-25,51.16,Food & Dining,Groceries,Coffee,Safeway,expense,8
2024-02-25,22.38,Shopping,Electronics,Personal items,CVS,expense,8
2024-02-26,1626.12,Housing,Property Tax,Mortgage payment,Property Manager,expense,8
2024-02-27,24.2,Entertainment,Music,Concert,Spotify,expense,8
2024-02-27,218.86,Healthcare,Dental,Doctor visit,CVS Pharmacy,expense,8
2024-02-28,9.11,Food & Dining,Groceries,Dinner,Chipotle,expense,8
2024-03-01,4289.38,Salary,Salary,Monthly salary payment,Tech Corp,income,8
2024-03-01,1196.08,Freelance,Freelance,Freelance project payment,Client B,income,8
2024-03-01,1678.32,Housing,HOA Fees,Property maintenance,Property Manager,expense,8
